City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,udachny,66.4167,112.4,20.25,48,98,3.42,RU,1691407180
83,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1691406954
84,tiksi,71.6872,128.8694,9.07,56,58,1.64,RU,1691407181
85,hamilton,39.1834,-84.5333,20.89,92,100,4.12,US,1691407181
86,bichura,50.5881,107.6022,19.83,89,93,1.61,RU,1691407181
87,monte carmelo,-18.7247,-47.4986,18.08,34,0,2.21,BR,1691406997
88,tambura,5.6,27.4667,32.47,43,12,1.85,SS,1691407182
89,sodankyla,67.4167,26.6,21.1,59,97,5.69,FI,1691407182
90,ribeira grande,38.5167,-28.7,26.22,69,40,5.66,PT,1691407146
91,colonia,50.9333,6.95,19.47,66,40,7.2,DE,1691407182
92,pacific grove,36.6177,-121.9166,14.02,94,0,0.0,US,1691407182
93,jamestown,42.097,-79.2353,21.12,90,100,3.09,US,1691407183
94,qaqortoq,60.7167,-46.0333,6.04,85,24,1.4,GL,1691407183
95,zhezkent,50.9311,81.3615,29.38,24,53,4.66,KZ,1691407183
96,nova xavantina,-14.6667,-52.35,23.52,44,3,0.6,BR,1691407183
97,pisco,-13.7,-76.2167,18.03,77,100,2.06,PE,1691407184
98,stanley,54.868,-1.6985,17.93,68,40,7.2,GB,1691407093
99,la sarre,48.8002,-79.1996,14.81,70,100,1.97,CA,1691407184
100,ostersund,63.1792,14.6357,14.25,90,100,1.54,SE,1691407184
101,ishigaki,24.3448,124.1572,28.07,94,75,1.54,JP,1691407184
102,ushuaia,-54.8,-68.3,-0.19,74,20,2.06,AR,1691407185
103,kerikeri,-35.2268,173.9474,6.06,90,60,1.69,NZ,1691407185
104,waingapu,-9.6567,120.2641,24.0,73,9,6.2,ID,1691407090
105,korla,41.7597,86.1469,37.59,11,86,4.0,CN,1691407186
106,magadan,59.5667,150.8,11.29,55,75,4.61,RU,1691406926
107,trairi,-3.2778,-39.2689,27.19,64,27,6.84,BR,1691407186
108,plastun,44.7561,136.2939,15.41,79,96,2.15,RU,1691407187
109,awjilah,29.1081,21.2869,33.87,28,2,4.73,LY,1691407187
110,taltal,-25.4,-70.4833,15.27,76,1,1.41,CL,1691407188
111,abepura,-2.6333,140.5833,26.45,78,40,2.06,ID,1691407188
112,codrington,-38.2667,141.9667,7.99,85,1,1.27,AU,1691407188
113,kingston,17.997,-76.7936,28.53,74,75,3.09,JM,1691407188
114,kirensk,57.7853,108.1119,25.7,61,71,1.78,RU,1691407188
115,ramadi,33.4226,43.3058,43.88,10,0,8.85,IQ,1691407189
116,dadiya,9.6167,11.4333,24.61,83,100,3.04,NG,1691407189
117,west island,-12.1568,96.8225,26.99,78,40,4.63,CC,1691407189
118,san fernando de monte cristi,19.8667,-71.65,27.41,82,0,6.11,DO,1691406913
119,invercargill,-46.4,168.35,5.01,88,98,2.24,NZ,1691407189
120,juan griego,11.0817,-63.9655,26.92,87,81,3.94,VE,1691407077
121,egilsstadir,65.2653,-14.3948,7.95,87,75,2.57,IS,1691407190
122,ghanzi,-21.5667,21.7833,23.72,23,6,3.87,BW,1691407190
123,kitangari,-10.65,39.3333,26.87,46,56,4.91,TZ,1691407190
124,beitbridge,-22.2167,30.0,25.82,21,14,0.4,ZW,1691407191
125,howard springs,-12.497,131.047,24.95,43,54,2.49,AU,1691407191
126,dylym,43.071,46.6345,35.08,31,0,3.05,RU,1691407191
127,hammerfest,70.6634,23.6821,20.25,49,0,1.54,NO,1691407191
128,kapoeta,4.7717,33.5903,33.12,31,73,7.63,SS,1691407192
129,port-gentil,-0.7193,8.7815,27.98,57,20,4.63,GA,1691406915
130,ilave,-16.0833,-69.6667,2.1,45,35,2.01,PE,1691407192
131,freeport,40.6576,-73.5832,23.37,89,100,5.66,US,1691407048
132,ore,6.7457,4.8775,25.97,86,94,2.82,NG,1691407192
133,inirida,3.8653,-67.9239,21.99,99,75,0.85,CO,1691407193
134,newman,37.3138,-121.0208,22.94,76,0,1.34,US,1691407193
